usahawanid,jenisperniagaan,klusterperniagaan,subkluster,purata_jualan_bulanan
S00004,E,B7,,3944
S00005,C,C3,,1078
S00006,A,A4,,8494
S00007,C,C3,,1316
S00008,C,C2,,3913
C00001,,,,5000
C00002,,,,3600
C00003,,,,2650
C00004,,,,2350
C00005,,,,3250
C00006,,,,2150
C00007,,,,3425
C00008,,,,4250
C00009,,,,2315
C00010,,,,4120
C00011,,,,3125
C00012,,,,4321
C00013,,,,2700
C00014,,,,3200
C00015,,,,2000
C00016,,,,4321
C00017,,,,2300
C00018,,,,3501
C00019,,,,4131
C00020,,,,2234
C00021,,,,4780
C00022,,,,3255
C00023,,,,4500
C00024,,,,3526
C00025,,,,2514
C00026,,,,4321
C00027,,,,3691
C00028,,,,3562
C00029,,,,3334
C00030,,,,4562
C00031,,,,4123
C00032,,,,4320
C00033,,,,3641
C00034,,,,4125
C00035,,,,3251
C00036,,,,4912
C00037,,,,4550
C00038,,,,3561
C00039,,,,4412
C00040,,,,4512
C00041,,,,3645
C00042,,,,4231
C00043,,,,3458
C00044,,,,3945
C00045,,,,1500
C00046,,,,2555
C00047,,,,2677
C00048,,,,1564
C00049,,,,3512
C00050,,,,2321
C00051,,,,3556
C00052,,,,2556
C00053,,,,4556
C00054,,,,3660
C00055,,,,2564
C00056,,,,3254
C00057,C,C2,LEBAH KELULUT,667
C00058,C,C2,LEBAH KELULUT,483
C00059,C,C2,KAMBING,1110
C00060,C,,,835
C00061,C,C2,KAMBING,1010
C00062,C,C3,IKAN SANGKAR,487
C00063,E,E21,,729
C00064,C,,,369
C00065,E,E8,,579
C00066,C,,,517
C00067,E,E5,,724
C00068,A,E13,,761
C00069,A,A4,,1804
C00070,E,E3,,868
C00071,C,C2,KERBAU,956
C00072,A,E13,,693
C00073,A,A4,,1275
C00074,C,E5,,803
C00075,C,E5,,734
C00076,A,A4,ROTI CANAI,770
C00077,C,C2,KELULUT,1683
C00078,E,E13,,660
C00079,E,E4,,489
C00080,C,C2,MADU KELULUT,1141
C00081,C,C2,MADU KELULUT,855
C00082,C,C2,KELULUT,871
C00083,E,E4,,438
C00084,C,,,412
C00085,C,,,793
C00086,C,C2,KAMBING,1110
C00087,E,E32,,386
C00088,C,,,489
C00089,A,A4,,833
C00090,C,,,504
C00091,C,C2,KELULUT,373
C00092,C,,,453
C00093,C,C2,RUSA,623
C00094,A,A2,,1932
C00095,C,,,511
C00096,E,E4,,833
C00097,E,E5,,717
C00098,C,C2,MADU KELULUT,960
C00099,C,,,419
C00100,C,C3,,1021
C00101,A,,,781
C00102,C,E30,BEKAM,442
C00103,C,E25,,483
C00104,A,,,895
C00105,C,,,579
C00106,C,,,442
C00107,C,,,456
C00108,E,E12,,623
C00109,C,,,781
C00110,E,E5,,869
C00111,C,C2,KAMBING,957
C00112,E,E2,,453
C00113,C,C1,JAGUNG,477
C00114,C,,,384
C00115,E,B1,,1800
C00116,C,,,695
C00117,C,C3,IKAN SANGKAR,1000
C00118,E,E6,,16000
C00119,C,C2,KELULUT,882
C00120,C,,,439
C00121,E,E12,,717
C00122,C,,,511
C00123,A,E13,,1046
C00124,C,C3,IKAN SANGKAR,388
C00125,C,C2,KELULUT,785
C00126,C,C2,KELULUT,640
C00127,E,E5,,801
C00128,C,C3,IKAN SANGKAR,917
C00129,C,A4,,1590
C00130,E,E12,,746
C00131,A,E13,,695
C00132,E,E5,,1365
C00133,C,C2,KELULUT,1166
C00134,C,,,396
C00135,E,E5,,1233
C00136,E,E13,,2100
C00137,C,C2,ITIK,1157
C00138,E,E9,,347
C00139,C,C2,MADU KELULUT,1056
C00140,E,E25,,375
C00141,A,A2,,329
C00142,E,E12,,620
C00143,E,E13,,473
C00144,A,A4,,677
C00145,A,A4,,1175
C00146,E,E4,,420
C00147,A,A4,,1460
C00148,E,E5,,879
C00149,E,E20,,800
C00150,A,A4,,1240
C00151,E,E13,,425
C00152,C,C2,LEBAH KELULUT,790
C00153,A,,,1163
C00154,E,E13,,1370
C00155,A,A4,,1260
C00156,C,C2,KELULUT,939
C00157,E,E13,,261
C00158,C,,,917
C00159,E,E4,,
C00160,E,E13,,1350
C00161,A,,,655
C00162,E,E4,,378
C00163,E,E29,,404
C00164,A,A2,,701
C00165,E,E4,,509
C00166,E,E6,,693
C00167,E,E4,,1135
C00168,A,A2,,694
C00169,E,E2,,1300
C00170,E,E13,,
C00171,E,E32,,417
C00172,A,A2,,7800
C00173,E,E13,,2300
C00174,A,A4,,1057
C00175,A,A4,,1171
C00176,E,E13,,467
C00177,A,A4,,1200
C00178,E,E2,,1650
C00179,E,E2,,885
C00180,C,,,570
C00181,C,,,441
C00182,E,E4,,2680
C00183,C,C2,KELULUT,505
C00184,A,A4,,3131
C00185,C,C2,KELULUT,710
C00186,C,,,960
C00187,E,B1,,1470
C00188,C,,,497
C00189,C,,,796
C00190,C,,,917
C00191,C,,,1028
C00192,E,,,692
C00193,C,,,
C00194,C,,,6500
C00195,A,E13,,
C00196,A,E13,,2500
C00197,E,,,
C00198,A,E13,,3500
C00199,C,,,7500
C00200,C,,,4500
C00201,C,,,
C00202,C,,,9500
C00203,A,E13,,9226
C00204,C,C3,,1800
C00205,C,C3,,3420
C00206,E,E4,,
C00207,C,,,1600
C00208,C,,,3600
C00209,C,,,
C00210,C,,,2480
C00211,E,E13,,8500
C00212,C,,,5500
C00213,C,C1,NAPIER,4800
C00214,E,F,PELANCONGAN,2300
C00215,C,,,600
C00216,E,E11,,2400
C00217,C,C3,,1000
C00218,C,C3,,2000
C00219,C,,,33855
C00220,E,E2,,3000
C00221,A,E13,,6000
C00222,E,E2,,9500
C00223,E,E11,,6000
C00224,E,F,PELANCONGAN,1300
C00225,,,,1500
C00226,C,C3,,1300
C00227,C,,,2000
C00228,A,E13,,4000
C00229,E,E2,,3000
C00230,C,,,4000
C00232,A,E13,,5000
C00233,E,E13,,4500
C00234,A,,,4000
C00235,A,,,350
C00236,E,E4,,1800
C00237,C,C3,,8530
C00238,A,E13,,3000
C00239,E,E4,,1000
C00240,E,E4,,3000
C00241,E,E31,,4300
C00242,E,E4,,330
C00243,E,E13,,5300
C00244,E,F,PELANCONGAN,3100
C00245,E,E6,,4200
C00246,A,E13,,1000
C00248,A,E13,,1000
C00249,A,E13,,2100
C00250,E,E14,PAKAIAN,2500
C00251,E,E14,PAKAIAN,1000
C00252,E,E13,,3500
C00253,A,E13,,7500
C00254,E,E14,SULAM,1000
C00255,E,E14,SULAM,2000
C00256,E,E2,,5765
C00257,E,E4,,900
C00258,A,E13,,2500
C00259,A,E13,,2000
C00260,A,E13,,2000
C00261,E,E13,,2100
C00262,E,E30,,2300
C00263,E,E14,,80
C00265,E,E31,,1000
C00266,E,E4,,1030
C00267,C,C3,,2800
C00269,C,,,2500
C00270,C,C3,,1500
C00271,A,A5,,1800
C00272,C,,,3000
C00273,,,,1200
C00274,,,,3500
C00275,E,E4,,6270
C00276,E,E2,,3000
C00277,,,,3500
C00279,E,E30,,
C00280,,,,750
C00281,E,A5,,3000
C00282,E,E4,,600
C00283,E,E4,,1500
C00284,E,E13,,
C00285,E,E2,,1500
C00286,E,E2,,2000
C00287,C,,,7820
C00288,A,E13,,650
C00289,A,E13,,1800
C00290,A,E13,,500
C00291,E,E4,,767
C00292,A,E13,,25750
C00293,A,E13,,1500
C00294,C,C3,,3800
C00295,E,E20,,12000
C00296,E,E2,,1500
C00297,A,E13,,1250
C00298,E,E29,,1300
C00299,C,C3,,7500
C00300,E,E11,,2500
C00301,C,,,1800
C00302,E,E35,,2500
C00303,C,C3,,4895
C00304,E,F,PELANCONGAN,1200
C00305,E,E4,,2500
C00306,A,E13,,1700
C00307,E,F,PELANCONGAN,600
C00308,E,E30,,550
C00309,E,E30,,915
C00310,E,E38,,650
C00311,A,E13,,1250
C00312,E,E13,,4600
C00313,C,,,1200
C00314,A,E13,,2000
C00315,E,E2,,4500
C00316,E,E41,,19550
C00317,A,E13,,800
C00318,A,E13,,3200
C00319,A,E13,,3200
C00320,A,E13,,16000
C00321,A,E13,,500
C00322,A,E13,,650
C00323,E,E30,,1300
C00324,C,C3,,2000
C00325,C,C2,KAMBING,10500
C00326,E,E11,,6500
C00327,E,E5,,10300
C00328,E,E13,,11500
C00329,C,C2,LANDAK,9500
C00330,A,A4,,25000
C00331,A,A5,GULA KABONG,12400
C00332,A,A4,,9800
C00333,C,C2,MADU KELULUT,5200
C00335,C,,,15000
C00336,A,A4,ROTI CANAI,10000
C00337,C,,,12200
C00338,E,E23,AYAM SEGAR,12200
C00339,C,C2,KAMBING,9100
C00340,E,E15,,10200
C00341,E,E29,,6100
C00342,C,C2,KELULUT,8200
C00344,E,E6,,9800
C00345,C,C3,IKAN SANGKAR,9800
C00346,C,C3,IKAN SANGKAR,8500
C00347,C,C1,PISANG,11500
C00348,C,C1,JAGUNG,15300
C00349,A,E13,AYAM GOLEK,6000
C00350,B,,,5900
C00351,C,,,9200
C00352,C,,,17300
C00353,E,E4,,12800
C00354,A,A3,,6400
C00355,A,A3,,8300
C00356,E,E13,,11700
C00357,C,,,15300
C00358,E,E9,,12500
C00359,C,C2,KELULUT,6400
C00360,C,C2,LEMBU,9100
C00361,C,C2,KELULUT,12400
C00362,E,,,10200
C00363,C,,,7000
C00364,C,,,14100
C00365,C,C2,KAMBING,12900
C00366,C,C2,KAMBING,8600
C00367,C,C2,KAMBING,17000
C00368,E,,,10100
C00369,E,,,3500
C00370,E,E3,,9100
C00371,C,,,5900
C00372,C,E24,,10300
C00373,E,,,6200
C00374,E,E5,,5900
C00375,E,,,14200
C00376,C,,,10400
C00377,E,E3,,5400
C00378,C,C2,LEMBU,10000
C00379,C,,,15600
C00380,C,,,9300
C00381,A,A4,ROTI CANAI,9400
C00382,C,,,16000
C00383,B,,,8200
C00384,C,C2,KELULUT,5400
C00385,C,C3,IKAN SANGKAR,8700
C00386,E,E5,,4400
C00387,E,E11,,7100
C00388,C,C2,KELULUT,8400
C00389,E,E11,,16300
C00390,C,C2,KELULUT,10300
C00391,E,E11,,6900
C00392,E,E38,,6800
C00393,C,C2,LEBAH,8900
C00394,E,E4,,6700
C00395,A,A1,,10300
C00396,E,E4,,7900
C00397,A,A1,,8400
C00398,A,E13,,6800
C00399,C,C2,KELULUT,5100
C00400,C,C2,KELULUT,7400
C00401,C,C2,KELULUT,10000
C00403,E,E4,,10000
C00404,C,C3,IKAN SANGKAR,9300
C00405,E,E4,,6000
C00406,E,E13,,7100
C00407,A,A2,SATE,8900
C00408,A,A6,SAMBAL HITAM,10300
C00409,E,E13,,15300
C00410,C,,,6900
C00411,C,,,12500
C00412,C,,,9200
C00413,C,C2,LANDAK,8400
C00414,C,C2,KELULUT,5600
C00415,C,C1,TEMBIKAI,15400
C00416,E,E4,,5300
C00417,C,C2,KELULUT,9600
C00418,C,C2,KAMBING,5800
C00419,C,A1,KEREPEK PISANG,6700
C00420,E,E11,,5500
C00421,C,,,18400
C00422,C,E25,,9200
C00423,E,E4,,19400
C00424,C,E24,,7600
C00425,E,E13,,7300
C00426,E,E13,,6200
C00427,E,E38,,7800
C00428,E,E15,,17900
C00429,E,E13,,5800
C00430,A,A4,,8200
C00431,C,C1,CENDAWAN,8400
C00432,C,C1,LIMAU NIPIS,10000
C00433,C,,,10200
C00434,C,C2,KELULUT,10000
C00435,C,C2,KELULUT,6800
C00436,A,A6,SAMBAL HITAM,14200
C00437,A,A4,,5300
C00438,E,E5,,10400
C00439,E,,,8200
C00440,E,E5,,8400
C00441,A,A3,,5600
C00442,E,E13,,9000
C00443,C,C2,KELULUT,6300
C00444,C,C2,LEMBU,12800
C00445,E,,,8300
C00447,E,E38,,10900
C00448,C,C2,KELULUT,9400
C00449,C,C2,KELULUT,6400
C00450,E,C2,KAMBING,14200
C00451,E,E5,,7900
C00452,A,A4,,13900
C00453,E,E13,,9000
C00454,A,A6,SAMBAL HITAM,8000
C00456,E,E38,,11000
C00457,E,,,15300
C00458,A,E13,BURGER DAN WESTERN,13000
C00459,A,E13,BURGER,6300
C00460,E,E3,,12000
C00461,A,A1,,12000
C00462,E,E3,,10000
C00463,A,A2,DODOL GULA KABONG,10100
C00464,C,,,
C00465,B,E35,,12000
C00466,E,,,10300
C00467,A,A4,BOMBOLONI,13000
C00468,E,E5,,5000
C00469,A,A3,,14200
C00470,E,E15,,14100
C00471,C,C2,KAMBING,10300
C00472,E,E11,,6200
C00473,E,E9,,10800
C00474,A,A4,,10500
C00475,E,,,20000
C00476,E,E4,,5000
C00477,E,E7,,11200
C00478,C,C3,IKAN KOLAM,10100
C00479,C,C2,LEMBU,5200
C00480,A,C1,TAUGE/ TEBU,10400
C00481,E,F,PEGURUSAN LANDSKAP,6100
C00482,C,C2,KAMBING,6200
C00483,E,,,14300
C00484,C,C2,LEMBU,15100
C00485,B,E5,,6100
C00486,A,A6,SAMBAL HITAM,10100
C00487,A,A2,BAHULU,7200
C00488,E,E4,,5300
C00489,B,E24,,13100
C00490,C,,,14000
C00491,C,C3,IKAN KOLAM,11300
C00492,E,,,7300
C00493,C,C1,CENDAWAN,6200
C00494,E,E38,,4800
C00495,B,E12,,5400
C00496,C,C2,LEMBU,4300
C00497,A,A4,,6100
C00498,A,E13,,4900
C00499,C,C2,LEMBU,5200
C00500,C,,,4900
C00501,C,,,7300
C00502,C,,,5800
C00503,B,E5,,10000
C00504,C,,,
C00505,A,E13,,7600
C00507,C,,,5400
C00508,E,E4,,4900
C00509,C,C2,MADU TUALANG,1000
C00510,C,C1,,1500
